,distance,width,movement_time
5158,60,18,433
5053,160,6,766
1104,210,10,909
2120,120,6,1129
5741,40,8,338
5987,40,18,504
3889,210,6,1057
6111,210,18,1208
1692,40,10,639
664,160,20,729
1900,75,10,410
3959,40,10,497
2651,120,6,817
4203,120,18,639
327,75,18,439
2574,120,8,808
3003,120,6,915
2280,40,6,778
4220,210,18,632
1373,210,6,863
4712,40,18,440
632,60,6,973
2864,120,14,659
691,120,18,855
428,60,10,813
1873,120,6,594
1338,40,10,481
4156,120,8,832
4784,75,14,559
24,160,10,880
4024,120,20,634
1355,60,14,474
129,120,18,729
2018,40,8,456
987,210,8,928
4917,75,10,647
2727,160,14,825
5903,210,14,823
2640,160,20,743
994,60,18,445
472,120,10,889
4592,40,6,507
87,60,18,480
1679,160,10,657
6117,210,18,801
3751,160,14,717
6013,120,18,903
896,40,14,480
2875,120,8,800
4068,60,14,423
4964,210,10,936
5097,60,8,647
4080,210,20,696
3681,40,20,622
4425,40,20,422
5568,75,6,622
1963,75,14,688
1672,210,20,689
1800,120,14,480
2257,210,8,962
246,160,6,914
1469,120,6,831
2103,210,10,1120
5952,210,10,1127
454,60,14,867
2850,60,6,733
261,210,14,769
3005,210,6,996
4703,120,8,754
5861,160,6,1103
5463,120,14,424
4271,40,18,541
5691,120,10,578
2580,120,8,1008
2703,60,6,712
3705,120,20,928
2920,160,18,770
4304,60,18,495
42,210,20,824
3559,40,8,1223
3187,210,20,686
4518,210,6,901
2936,210,10,918
274,210,18,816
4834,75,6,999
3830,120,14,726
2081,120,20,722
5601,40,14,323
4140,40,14,379
1293,40,8,598
1804,210,6,886
3311,210,14,977
4186,60,10,545
806,160,14,936
1270,75,10,539
2684,75,20,457
1835,160,6,797
2287,40,6,520
2950,40,10,787
1511,160,8,1320
5753,75,14,336
2633,75,8,1057
1934,75,20,671
3957,40,10,705
2130,120,10,593
1953,60,18,839
3051,75,20,498
2442,75,18,606
3293,160,8,639
5107,210,6,1096
3222,160,6,1224
1260,210,14,1016
4961,210,10,772
5333,120,20,473
4229,40,18,287
5995,160,8,1008
2322,120,18,434
811,160,14,1169
363,210,10,896
3430,160,10,986
1001,210,6,1001
4393,210,10,784
5485,75,8,528
4366,75,6,1112
5810,40,14,567
5522,120,20,436
885,120,6,1049
5362,210,18,904
4476,40,14,368
3935,75,6,760
2272,210,18,809
3194,60,10,548
2315,120,8,974
1828,40,20,237
3669,75,14,550
4058,75,10,649
2873,120,14,848
2563,210,8,1294
2907,60,10,655
3076,210,20,768
3728,60,14,793
5889,160,18,854
800,40,18,560
2723,160,14,745
266,210,14,861
1478,75,18,499
1925,210,20,745
1264,210,14,889
4307,60,18,518
2184,40,18,438
4362,210,14,955
2138,120,10,671
3298,160,8,895
5035,160,20,715
2784,210,14,848
5535,40,10,491
4527,75,8,967
4548,160,10,1041
4335,120,10,737
3263,210,6,1080
1275,75,10,715
5867,40,20,486
4224,210,18,638
1741,75,6,696
945,75,10,656
3519,210,20,1105
6116,210,18,817
2338,60,14,506
2643,160,20,786
2852,160,10,944
4995,40,6,713
6102,40,10,495
4647,120,18,677
1079,210,20,842
56,120,8,865
5595,160,14,600
2324,120,18,382
66,60,14,638
1352,60,14,505
5076,60,10,503
2126,120,6,878
3399,120,20,430
1357,60,14,577
3435,75,8,559
6032,120,6,1233
1684,160,10,694
711,40,10,792
3984,210,14,761
1885,210,10,738
2964,40,14,528
1207,60,18,552
4587,40,6,432
3624,60,6,704
3111,120,14,665
5540,40,10,357
1450,120,20,630
1473,120,6,609
192,160,8,952
1189,60,20,536
2535,120,18,568
3926,160,6,929
5838,75,14,498
4967,210,10,806
5521,120,20,527
1391,40,14,495
4449,160,6,1006
5248,60,6,637
3494,60,8,720
2521,60,18,503
273,210,18,826
531,75,14,763
1648,210,14,805
1875,160,14,628
658,210,14,1046
3679,40,20,708
4127,75,20,385
279,210,18,720
4459,75,20,365
5551,120,8,643
5793,210,8,667
4590,40,6,470
5636,120,18,470
4141,40,14,425
3895,60,20,490
1881,160,14,519
4756,75,8,593
5647,60,20,304
5749,40,8,446
4471,40,14,368
4243,40,6,632
2466,210,18,744
4664,160,6,829
922,40,6,672
4248,60,8,948
5809,40,14,746
330,75,18,511
1125,75,14,526
4997,40,6,521
536,75,20,775
47,75,20,718
2167,210,6,1031
1081,210,20,816
1049,40,10,712
3320,210,14,856
1650,210,14,726
540,75,20,710
3177,40,10,358
1620,160,20,654
259,210,14,846
4799,40,8,560
5970,75,6,683
5992,160,8,800
1736,60,18,399
1233,75,6,709
4992,40,6,682
1067,160,18,885
2033,160,14,767
5063,160,6,1000
2648,120,6,1024
5587,160,14,506
2304,60,8,559
986,210,8,1167
4480,40,14,446
3581,60,20,504
4443,60,10,496
1002,210,6,1313
229,60,20,446
2036,160,18,696
2995,120,6,929
4867,160,18,626
2898,60,20,656
4323,120,14,736
5280,75,14,402
4563,75,10,624
5779,60,8,421
3260,210,6,1770
67,60,14,592
5671,210,6,893
5171,40,10,615
2488,120,10,960
5377,40,20,422
570,120,8,966
2567,210,8,1167
3534,210,8,1181
2069,120,14,744
604,160,18,838
2308,120,8,755
1797,120,14,477
3649,40,18,591
853,160,8,1088
4034,60,6,610
3229,160,14,703
3065,75,14,770
960,60,10,610
589,120,6,1168
5291,210,20,633
4831,75,6,559
1315,60,8,567
1437,60,10,496
1859,60,8,598
5954,210,10,931
3609,40,10,666
2867,120,14,784
4511,160,20,648
446,60,8,815
2002,160,20,722
3134,40,8,578
5711,210,18,546
3623,60,6,880
3965,120,10,944
3275,60,6,646
2598,75,6,695
3964,40,10,507
2922,160,18,848
5815,40,14,646
5628,60,14,423
5897,120,20,624
3149,75,20,417
4410,120,20,603
4287,60,20,544
1440,60,10,544
6003,120,8,897
5029,75,8,623
2288,40,6,701
3447,40,14,493
3938,75,6,807
5191,40,8,553
4222,210,18,624
4602,75,14,610
4886,120,6,752
89,60,18,496
5186,75,10,415
773,120,10,910
2868,120,14,657
1553,120,10,595
5060,160,6,880
1778,160,8,632
5263,60,20,412
1415,210,18,763
4164,160,8,761
1756,40,18,238
3185,210,20,785
578,75,6,1104
2260,210,8,871
4216,210,18,721
6022,60,6,969
4196,120,18,528
1037,75,8,776
4934,60,20,440
3281,120,8,688
1566,120,18,646
1822,120,8,520
351,120,10,768
2946,40,10,861
3227,160,14,624
425,60,10,1047
1944,40,20,370
2487,120,10,656
5326,40,14,391
3,210,8,1128
2250,75,18,365
4022,120,20,681
3556,210,10,1517
370,120,14,702
1243,160,20,801
4666,160,6,899
4433,210,20,710
1467,120,6,625
1773,160,8,855
2566,210,8,1184
900,40,14,522
231,60,20,522
5737,40,18,247
4742,120,14,705
3138,40,8,598
2849,60,6,611
3384,160,20,552
796,40,18,603
4465,75,20,408
283,40,10,545
3876,160,20,639
3390,120,20,698
3285,120,8,696
5420,75,10,582
4202,120,18,624
3383,160,20,625
5224,75,20,396
5561,160,8,569
2929,40,18,445
507,40,18,552
2127,120,6,698
1399,160,6,1144
2244,75,18,473
1697,160,18,632
1986,160,8,1062
2448,75,18,830
3188,210,20,674
830,120,20,816
354,120,10,761
5524,60,18,333
619,210,18,875
166,40,14,455
5460,210,14,624
2962,40,14,513
5653,75,18,407
420,75,8,856
5481,60,6,415
4082,210,20,848
3241,40,6,752
5409,120,18,497
6139,60,18,696
624,60,6,1215
2092,75,6,606
5768,40,6,358
1453,120,20,820
5430,60,10,551
2710,60,8,601
2435,210,10,831
4779,60,14,527
1610,60,10,455
5760,75,14,574
3326,210,8,1234
46,75,20,912
1528,120,10,646
4316,60,14,603
3801,40,14,442
86,120,6,1056
3159,40,18,398
218,160,14,955
6130,210,20,831
1993,160,8,1105
4151,120,8,776
2226,75,10,721
3862,210,10,968
1525,120,10,686
841,60,20,694
4558,75,10,854
5359,210,18,782
4948,40,20,431
901,40,14,441
1889,210,10,695
4691,60,8,642
1499,75,20,512
2661,40,18,421
6133,210,20,711
2925,40,18,482
3696,60,18,632
1982,160,10,856
1143,160,14,980
5950,210,10,1055
1251,75,8,741
2596,75,6,714
4889,40,14,420
4204,120,18,472
3626,60,6,809
4371,75,6,736
5336,120,20,489
200,75,10,740
2819,210,18,1042
2281,40,6,582
2857,160,10,894
2341,60,14,703
317,60,8,890
614,210,18,1031
450,60,8,823
4155,120,8,704
2458,60,14,537
1632,75,8,696
4871,160,18,671
2470,210,18,826
2116,210,10,871
3875,160,20,698
5523,60,18,360
2394,40,8,528
953,60,8,809
3382,160,20,619
730,210,8,1183
5591,160,14,503
5617,160,6,668
2629,75,8,610
5318,120,14,472
5376,75,18,433
3323,210,14,872
5781,60,8,545
6140,60,18,560
2747,160,6,1488
2321,120,18,424
2339,60,14,448
4116,120,14,494
4583,210,8,1033
4389,210,10,817
5146,210,8,930
705,40,10,727
3482,210,10,982
560,160,6,1200
3100,75,18,424
704,40,10,1019
3216,160,6,1056
1710,40,14,432
1339,160,18,914
3950,160,10,785
5602,40,14,344
1256,75,8,609
94,60,18,458
4131,75,20,414
460,60,14,775
4197,120,18,512
396,210,10,1085
3452,40,14,371
5558,160,8,805
5934,60,8,673
4681,60,18,498
2569,210,8,1166
6045,75,8,760
496,160,8,1047
5220,40,6,526
2835,120,18,606
622,210,18,863
1336,40,10,591
5855,160,6,2214
160,40,14,425
5944,120,10,752
780,120,18,711
2008,160,20,609
4606,60,6,984
5392,40,18,311
5516,120,20,440
2188,40,18,369
3925,160,6,886
2707,60,6,845
3929,160,6,914
3295,160,8,859
1226,120,8,664
5782,60,8,454
5830,75,14,760
98,75,6,817
297,60,10,497
3338,75,10,1175
725,210,8,1072
3655,40,18,615
165,40,14,472
1412,210,18,758
3845,160,18,724
3189,210,20,952
5056,160,6,871
4677,75,18,518
1340,160,18,735
6078,75,18,527
1995,160,8,1027
1901,75,10,480
4063,75,10,521
1006,210,6,1171
3090,75,18,703
1612,60,10,551
5120,210,6,805
2011,40,8,816
2123,120,6,943
394,210,10,1143
411,40,20,773
5569,75,6,674
1012,160,6,886
2449,75,18,659
616,210,18,803
116,160,20,751
217,160,14,895
1805,210,6,825
3171,75,6,793
3761,75,10,522
5244,160,8,816
2175,40,18,415
6107,40,10,521
2866,120,14,866
4325,120,14,816
3009,210,6,1043
530,75,14,599
5384,40,20,311
2879,120,8,893
2836,120,18,673
3580,60,20,519
5312,120,14,506
2507,40,14,475
4165,160,8,663
2037,160,18,757
990,60,18,359
3997,40,8,535
5332,120,20,575
