,distance,width,movement_time
572,120,8,911
2085,120,20,592
3122,120,10,715
144,75,8,590
1956,60,18,419
5791,210,8,632
5228,75,20,344
5058,160,6,953
2592,40,6,553
1758,40,18,246
6161,160,10,1000
3905,60,8,545
3105,75,18,335
497,160,8,1160
5305,210,14,624
4451,160,6,857
5468,120,14,568
5135,160,18,496
4018,75,14,666
837,60,20,543
5388,40,18,358
2451,60,14,567
5126,210,10,616
2026,160,14,731
2347,60,14,464
5528,60,18,400
3834,120,14,616
4019,120,20,512
4461,75,20,352
2055,60,6,729
1261,210,14,1105
4388,210,10,831
2241,75,18,847
213,210,6,1010
1960,75,14,696
4254,60,8,554
983,210,8,952
1046,40,10,432
1722,40,8,455
4547,160,10,919
4865,160,18,642
2045,210,14,1303
3422,160,10,1129
2774,120,10,658
5208,160,14,870
3600,75,6,930
3191,210,20,697
3418,120,18,817
1520,120,10,971
28,160,10,882
5837,75,14,777
5421,75,10,701
1188,60,20,456
280,210,18,679
3209,60,18,458
3610,40,10,534
4773,60,14,465
6087,60,10,502
3744,160,20,854
4257,60,8,663
2859,160,10,880
2891,160,8,801
4713,40,18,464
5638,120,18,536
2213,60,10,462
3433,75,8,543
1423,210,18,742
3755,160,14,777
500,160,8,1032
620,210,18,944
599,160,10,1065
2034,160,18,687
1712,40,14,480
649,40,14,568
1656,75,14,639
2597,75,6,878
1491,210,8,1025
702,60,18,850
240,160,6,786
4004,160,14,840
659,210,14,1041
5262,60,20,353
2523,160,6,864
1563,120,18,490
4028,120,20,546
1649,210,14,675
4710,40,18,503
4586,40,6,512
861,160,10,976
2478,40,10,582
1123,75,14,546
5292,210,20,655
4550,160,10,702
4282,60,20,504
309,40,18,409
5988,160,8,1447
4198,120,18,800
5819,210,8,1394
1058,75,18,574
2056,60,6,839
3906,60,8,582
22,160,10,1030
4574,210,8,1320
627,60,6,891
3893,60,20,455
2587,40,6,666
5572,75,6,480
3563,40,8,990
5245,60,6,760
2512,60,18,486
4910,75,10,617
1368,210,6,904
3038,160,20,921
4525,75,8,616
4112,40,20,391
3318,210,14,848
3662,210,6,1215
4293,160,14,931
1933,75,20,664
1364,210,6,1137
3885,210,6,889
3037,160,20,768
3692,60,18,529
17,75,14,690
3746,160,20,690
2886,160,8,995
93,60,18,471
812,160,14,1085
3330,210,8,1009
3740,160,20,767
313,40,18,392
6141,60,18,458
5310,210,14,726
2980,75,6,688
2052,210,14,840
4790,40,8,648
4210,75,18,384
3196,60,10,695
2053,210,14,1048
6128,160,14,760
2510,40,14,535
961,60,10,635
6058,210,6,1486
5886,160,18,823
5976,75,6,656
4374,210,18,1208
5397,120,18,545
4996,40,6,645
3859,210,10,865
4066,60,14,424
3896,60,20,478
5500,75,20,380
282,40,10,833
2209,60,10,535
6167,160,10,848
3357,60,20,417
4043,210,8,1138
3253,210,6,846
4791,40,8,752
485,75,18,791
2626,75,8,727
3236,40,6,598
5766,40,6,449
2264,210,8,848
2365,210,14,1162
2282,40,6,787
5951,210,10,1352
3752,160,14,714
4755,75,8,600
169,40,14,435
4667,160,6,960
1170,75,14,662
817,75,6,1270
1838,160,6,762
250,40,20,526
391,210,10,1008
1856,60,8,454
1985,160,8,1146
263,210,14,1153
68,60,14,647
3532,210,8,1030
5631,120,18,466
5,210,8,1287
6044,75,8,673
1274,75,10,583
1174,75,14,654
5693,120,10,546
6081,60,10,616
193,75,10,553
5772,40,6,447
5840,40,6,703
2704,60,6,678
2537,120,18,750
239,160,6,870
2701,60,6,814
4535,120,18,874
4603,75,14,520
2547,120,14,607
3379,160,20,567
2269,210,18,648
1379,160,10,712
1517,160,8,976
3509,160,8,1241
1745,75,6,649
4633,60,10,742
5622,60,14,373
125,160,18,679
1171,75,14,538
3113,120,14,705
3277,120,8,668
5662,210,6,928
281,40,10,840
334,75,18,512
1874,160,14,666
802,40,18,575
2337,60,14,551
781,120,18,778
3943,75,6,658
443,60,8,886
5715,120,6,601
1726,40,8,427
2066,60,6,770
3118,120,14,855
2762,75,8,672
158,60,6,688
5948,210,10,826
946,75,10,665
5212,40,6,442
2757,160,14,1025
1518,160,8,769
3347,210,18,872
457,60,14,729
2158,40,14,688
326,75,18,495
5512,210,20,630
3201,60,10,704
4874,160,18,814
5732,40,18,293
4542,120,18,614
39,210,20,841
770,120,10,930
4417,40,20,385
5052,160,6,824
4682,60,18,581
2822,40,8,562
826,120,20,775
6088,60,10,832
1159,40,6,695
2284,40,6,561
689,120,18,797
5742,40,8,455
544,120,14,712
5884,160,18,826
6000,120,8,872
10,210,8,944
3055,75,20,720
2461,210,18,827
3803,40,14,425
4838,75,6,680
5880,75,10,952
610,160,18,934
5600,40,14,349
3549,210,10,1355
5733,40,18,266
214,210,6,1089
1906,75,20,382
1276,75,10,734
4892,40,14,405
5173,40,10,491
3438,75,8,528
1369,210,6,822
3775,75,20,482
3821,120,10,826
949,60,8,793
120,160,18,792
1464,120,14,514
1834,160,6,618
252,40,20,417
2200,60,10,549
210,210,6,984
1915,75,20,367
4560,75,10,646
3632,120,18,1232
5298,210,20,736
4267,75,18,617
2121,120,6,1093
1868,120,6,744
4273,40,18,815
3400,120,20,442
674,40,8,1018
3868,210,10,824
1739,75,6,550
3784,210,18,961
2005,160,20,631
4199,120,18,479
2717,60,8,570
1198,60,6,598
3639,75,8,1002
2665,40,18,341
4231,40,18,296
2009,40,8,575
5138,160,18,614
2404,160,10,841
3832,120,14,701
2844,60,6,861
3142,75,20,760
6159,160,10,807
3520,210,20,990
1863,120,6,730
2300,60,8,541
2489,120,10,735
6134,210,20,937
5236,160,8,667
2149,60,20,392
1749,75,6,706
5438,60,10,493
6012,120,18,863
1972,160,10,1374
6110,210,18,911
3825,120,10,674
5687,120,10,512
3429,160,10,1384
4249,60,8,1067
5217,40,6,432
2418,120,20,712
721,75,10,1043
1105,210,10,769
1047,40,10,552
4047,210,8,704
3796,75,18,523
2978,75,6,831
5677,160,20,501
1219,120,8,691
5731,40,18,302
5256,60,6,741
3616,40,10,565
1065,75,18,720
684,120,18,733
4464,75,20,449
157,60,6,744
4430,210,20,752
4458,160,6,893
2169,210,6,934
5606,160,6,865
5124,210,10,755
3768,75,20,584
329,75,18,520
4387,210,10,809
6066,75,20,536
4911,75,10,551
4315,60,14,550
2363,210,14,1046
672,160,20,863
2474,40,10,481
5017,75,8,632
32,160,10,1344
345,120,20,665
1458,120,14,592
4873,160,18,625
4377,210,18,761
4517,210,6,1324
2238,40,10,432
6127,160,14,930
3882,210,6,694
4119,120,14,718
467,120,10,830
6042,75,8,762
4184,60,10,440
3962,40,10,448
2108,210,10,1015
5007,120,6,800
647,40,14,650
1784,60,6,511
2174,40,18,328
995,60,18,468
5006,120,6,1023
175,40,6,672
2585,40,6,540
5123,210,10,713
786,60,14,606
2607,60,20,544
1711,40,14,400
3377,160,20,745
4486,120,8,824
690,120,18,843
2775,120,10,992
5596,40,14,392
469,120,10,774
4864,160,18,869
2668,210,6,1232
3462,75,14,594
1969,75,14,432
141,75,8,929
4228,40,18,399
4546,160,10,872
4689,60,18,544
2076,120,14,930
4192,60,10,466
4543,120,18,690
755,40,8,834
2505,40,14,447
4694,60,8,686
2313,120,8,910
1560,120,10,672
4991,40,6,488
4411,120,20,675
493,160,8,912
5953,210,10,991
2298,60,8,679
2888,160,8,1039
2797,60,14,539
5408,120,18,489
1254,75,8,672
751,160,14,919
1833,40,20,263
